Symbol,UnderlyingSymbol,TradeDate,Quantity,TradePrice
CCL,,20210429,18,27.545
CCL,,20210504,19,26.288
CCL,,20210628,11,27.46
CCL,,20210727,100,29.5
CCL,,20210806,100,26
SKYW,,20210513,11,47.395
SKYW,,20210525,-11,50.0338
TQQQ,,20210624,-15,117.39
CCL   210604P00028500,CCL,20210526,1,0.47
CCL   210604P00028500,CCL,20210526,1,0.47
CCL   210604P00028500,CCL,20210603,-2,0.04
CCL   210625P00028000,CCL,20210618,-1,0.77
CCL   210625P00028000,CCL,20210625,1,0
CCL   210730P00029500,CCL,20210628,-1,2.78
CCL   210730P00029500,CCL,20210727,1,0
CCL   210806P00026000,CCL,20210707,-1,2.35
CCL   210806P00026000,CCL,20210806,1,0
CCL   211015C00032500,CCL,20210527,1,2.71
CCL   211015C00032500,CCL,20211015,-1,0
CCL   211015C00035000,CCL,20210625,-1,1
CCL   211015C00035000,CCL,20210625,-1,1
CCL   211015C00035000,CCL,20210625,-1,1
CCL   211015C00035000,CCL,20210707,3,0.36
CCL   220121C00030000,CCL,20210707,-4,1.69
CCL   220121C00032500,CCL,20210713,1,1
CCL   220121C00032500,CCL,20211223,-1,0.02
CCL   220218C00027500,CCL,20210719,1,1
CCL   220218C00030000,CCL,20210715,1,1
CCL   220218C00030000,CCL,20211223,-1,0.2
CCL   220318C00022500,CCL,20211130,1,0.92
CCL   220318C00025000,CCL,20211119,1,1
CCL   220318C00027500,CCL,20211020,1,1.01
CCL   220318C00035000,CCL,20210712,1,1.07
CCL   220318C00035000,CCL,20211223,-1,0.15
CCL   220414C00027500,CCL,20211025,1,1
CCL   220617C00020000,CCL,20211231,-1,2.92
